0,1,2,3,4,5,6,7,8,9,10
sausage,yogurt,,,,,,,,,
tropical fruit,brown bread,,,,,,,,,
whole milk,sliced cheese,,,,,,,,,
photo/film,canned beer,,,,,,,,,
whole milk,sausage,pork,coffee,,,,,,,
white bread,red/blush wine,,,,,,,,,
rolls/buns,sauces,,,,,,,,,
citrus fruit,misc. beverages,,,,,,,,,
whole milk,bottled beer,,,,,,,,,
canned beer,nuts/prunes,,,,,,,,,
rolls/buns,sugar,,,,,,,,,
yogurt,tropical fruit,whipped/sour cream,Instant food products,,,,,,,
tea,pip fruit,,,,,,,,,
frozen fish,domestic eggs,,,,,,,,,
photo/film,soda,,,,,,,,,
soda,condensed milk,curd,,,,,,,,
rolls/buns,butter milk,,,,,,,,,
whole milk,pot plants,,,,,,,,,
soups,sugar,seasonal products,bottled beer,,,,,,,
pip fruit,bottled water,,,,,,,,,
chocolate marshmallow,yogurt,,,,,,,,,
other vegetables,curd,tropical fruit,brown bread,bottled beer,,,,,,
soda,artif. sweetener,salty snack,,,,,,,,
yogurt,tropical fruit,,,,,,,,,
beef,hamburger meat,,,,,,,,,
beef,soda,,,,,,,,,
tropical fruit,specialty chocolate,,,,,,,,,
shopping bags,whole milk,,,,,,,,,
beef,root vegetables,,,,,,,,,
packaged fruit/vegetables,bottled beer,,,,,,,,,
newspapers,flour,,,,,,,,,
root vegetables,other vegetables,,,,,,,,,
beef,semi-finished bread,,,,,,,,,
white wine,beverages,,,,,,,,,
mustard,curd,,,,,,,,,
frankfurter,margarine,,,,,,,,,
whole milk,processed cheese,curd,,,,,,,,
sugar,canned vegetables,,,,,,,,,
meat,whole milk,,,,,,,,,
pot plants,packaged fruit/vegetables,butter,rolls/buns,,,,,,,
tropical fruit,whole milk,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
condensed milk,berries,tea,frozen vegetables,cat food,,,,,,
sausage,pip fruit,,,,,,,,,
sausage,pip fruit,brown bread,,,,,,,,
frankfurter,bottled water,,,,,,,,,
misc. beverages,rolls/buns,,,,,,,,,
white wine,butter,frozen fish,,,,,,,,
shopping bags,soda,,,,,,,,,
sausage,dessert,,,,,,,,,
cream cheese ,white bread,,,,,,,,,
canned beer,misc. beverages,liqueur,,,,,,,,
chicken,soda,dishes,,,,,,,,
butter milk,whole milk,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
whipped/sour cream,cat food,,,,,,,,,
sausage,berries,,,,,,,,,
salty snack,pip fruit,photo/film,domestic eggs,rolls/buns,,,,,,
yogurt,fruit/vegetable juice,,,,,,,,,
tropical fruit,citrus fruit,,,,,,,,,
sausage,pip fruit,tropical fruit,pasta,rolls/buns,beverages,brown bread,,,,
other vegetables,sausage,white bread,soda,,,,,,,
soda,berries,,,,,,,,,
sugar,skin care,,,,,,,,,
meat,coffee,,,,,,,,,
tropical fruit,curd,chocolate,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
tropical fruit,fruit/vegetable juice,,,,,,,,,
newspapers,shopping bags,,,,,,,,,
whipped/sour cream,soda,,,,,,,,,
meat,cake bar,,,,,,,,,
root vegetables,ice cream,,,,,,,,,
pastry,rolls/buns,,,,,,,,,
soda,fruit/vegetable juice,bottled beer,,,,,,,,
citrus fruit,whipped/sour cream,,,,,,,,,
male cosmetics,hard cheese,,,,,,,,,
bottled water,bottled beer,brown bread,,,,,,,,
soda,red/blush wine,,,,,,,,,
frozen fish,sausage,other vegetables,canned beer,yogurt,shopping bags,beverages,chewing gum,canned beer,,
yogurt,other vegetables,,,,,,,,,
coffee,tidbits,,,,,,,,,
bottled water,soda,,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
whole milk,butter milk,,,,,,,,,
shopping bags,newspapers,,,,,,,,,
citrus fruit,pickled vegetables,,,,,,,,,
meat,liquor,,,,,,,,,
curd,curd,,,,,,,,,
beef,bottled beer,,,,,,,,,
organic sausage,processed cheese,oil,,,,,,,,
soda,newspapers,,,,,,,,,
napkins,white bread,,,,,,,,,
beef,pork,margarine,fruit/vegetable juice,margarine,,,,,,
spread cheese,root vegetables,,,,,,,,,
dessert,butter milk,,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
frankfurter,seasonal products,,,,,,,,,
root vegetables,soda,,,,,,,,,
beef,meat spreads,,,,,,,,,
herbs,curd,,,,,,,,,
bottled water,whole milk,,,,,,,,,
butter milk,newspapers,,,,,,,,,
curd,meat,yogurt,whipped/sour cream,,,,,,,
semi-finished bread,rolls/buns,,,,,,,,,
soda,salty snack,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
mayonnaise,pet care,,,,,,,,,
berries,pastry,,,,,,,,,
beverages,rolls/buns,,,,,,,,,
beef,curd,,,,,,,,,
bottled water,whipped/sour cream,,,,,,,,,
brown bread,margarine,,,,,,,,,
bottled beer,other vegetables,butter,,,,,,,,
root vegetables,grapes,brandy,pickled vegetables,pastry,,,,,,
oil,pickled vegetables,,,,,,,,,
sausage,hard cheese,bottled beer,,,,,,,,
spread cheese,whole milk,,,,,,,,,
onions,butter,,,,,,,,,
frankfurter,chocolate,mayonnaise,oil,,,,,,,
grapes,pip fruit,photo/film,root vegetables,cling film/bags,,,,,,
pet care,flour,coffee,napkins,,,,,,,
photo/film,fruit/vegetable juice,,,,,,,,,
napkins,photo/film,,,,,,,,,
rolls/buns,hygiene articles,domestic eggs,misc. beverages,,,,,,,
waffles,rolls/buns,,,,,,,,,
pork,sugar,,,,,,,,,
whole milk,rolls/buns,herbs,beverages,soda,,,,,,
sauces,rolls/buns,,,,,,,,,
frozen chicken,white wine,,,,,,,,,
herbs,pip fruit,,,,,,,,,
tropical fruit,pastry,,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
bottled water,hamburger meat,pastry,,,,,,,,
sausage,whole milk,,,,,,,,,
pork,tropical fruit,,,,,,,,,
domestic eggs,bottled beer,,,,,,,,,
ham,bottled water,,,,,,,,,
yogurt,butter milk,,,,,,,,,
frankfurter,rolls/buns,,,,,,,,,
beef,salty snack,,,,,,,,,
packaged fruit/vegetables,root vegetables,sliced cheese,pip fruit,,,,,,,
rice,dish cleaner,,,,,,,,,
meat,fruit/vegetable juice,,,,,,,,,
pork,bottled beer,beef,other vegetables,chocolate,snack products,other vegetables,frozen vegetables,,,
dessert,newspapers,white bread,,,,,,,,
rolls/buns,cat food,newspapers,,,,,,,,
red/blush wine,bottled water,,,,,,,,,
sparkling wine,waffles,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
yogurt,other vegetables,,,,,,,,,
hamburger meat,soda,,,,,,,,,
root vegetables,sliced cheese,newspapers,shopping bags,,,,,,,
canned beer,red/blush wine,salty snack,,,,,,,,
other vegetables,chocolate,,,,,,,,,
pet care,other vegetables,,,,,,,,,
root vegetables,beef,,,,,,,,,
tropical fruit,soft cheese,,,,,,,,,
pastry,baking powder,,,,,,,,,
brown bread,hygiene articles,shopping bags,,,,,,,,
meat,detergent,canned beer,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
meat,citrus fruit,pip fruit,other vegetables,,,,,,,
cling film/bags,other vegetables,,,,,,,,,
fruit/vegetable juice,rolls/buns,,,,,,,,,
sausage,cream cheese ,,,,,,,,,
soap,yogurt,,,,,,,,,
soda,yogurt,,,,,,,,,
rolls/buns,dessert,,,,,,,,,
dish cleaner,shopping bags,,,,,,,,,
pork,dishes,,,,,,,,,
soda,seasonal products,,,,,,,,,
tropical fruit,butter,,,,,,,,,
yogurt,herbs,,,,,,,,,
other vegetables,whipped/sour cream,,,,,,,,,
berries,whole milk,,,,,,,,,
dessert,pickled vegetables,cat food,,,,,,,,
specialty bar,specialty chocolate,,,,,,,,,
ham,pork,pork,soda,,,,,,,
frozen meals,citrus fruit,,,,,,,,,
shopping bags,shopping bags,,,,,,,,,
organic sausage,bottled water,,,,,,,,,
hamburger meat,spread cheese,,,,,,,,,
citrus fruit,frozen dessert,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
onions,other vegetables,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
pastry,waffles,other vegetables,whole milk,dental care,house keeping products,frozen vegetables,,,,
UHT-milk,berries,shopping bags,,,,,,,,
beef,pip fruit,,,,,,,,,
napkins,tropical fruit,yogurt,sugar,,,,,,,
coffee,soda,,,,,,,,,
citrus fruit,chocolate,,,,,,,,,
herbs,chewing gum,,,,,,,,,
rolls/buns,bottled water,,,,,,,,,
chicken,specialty chocolate,,,,,,,,,
sausage,specialty chocolate,,,,,,,,,
margarine,other vegetables,,,,,,,,,
pastry,whole milk,sausage,soda,soda,sliced cheese,domestic eggs,,,,
pip fruit,pastry,,,,,,,,,
chocolate,white bread,,,,,,,,,
other vegetables,beverages,,,,,,,,,
canned beer,dessert,frozen meals,,,,,,,,
butter,whipped/sour cream,,,,,,,,,
liquor,domestic eggs,,,,,,,,,
pork,yogurt,,,,,,,,,
tropical fruit,candy,salt,,,,,,,,
soda,misc. beverages,,,,,,,,,
sausage,soda,,,,,,,,,
canned beer,brown bread,napkins,,,,,,,,
chicken,sugar,domestic eggs,,,,,,,,
rolls/buns,white bread,,,,,,,,,
specialty cheese,butter,,,,,,,,,
citrus fruit,rolls/buns,napkins,soda,,,,,,,
root vegetables,misc. beverages,,,,,,,,,
pork,pasta,fruit/vegetable juice,,,,,,,,
whole milk,bottled water,,,,,,,,,
whole milk,soda,,,,,,,,,
canned beer,whipped/sour cream,misc. beverages,,,,,,,,
citrus fruit,brown bread,specialty chocolate,,,,,,,,
other vegetables,meat,soda,whipped/sour cream,,,,,,,
canned beer,napkins,specialty bar,,,,,,,,
meat,cream cheese ,,,,,,,,,
root vegetables,kitchen towels,,,,,,,,,
whole milk,citrus fruit,,,,,,,,,
pip fruit,soda,domestic eggs,,,,,,,,
brown bread,rolls/buns,,,,,,,,,
whole milk,pip fruit,,,,,,,,,
newspapers,root vegetables,margarine,,,,,,,,
pork,waffles,tropical fruit,pork,canned beer,whipped/sour cream,newspapers,cream cheese ,,,
yogurt,other vegetables,baking powder,candy,,,,,,,
nuts/prunes,whole milk,,,,,,,,,
sausage,canned beer,newspapers,tropical fruit,newspapers,,,,,,
tropical fruit,pip fruit,,,,,,,,,
domestic eggs,other vegetables,soda,,,,,,,,
canned beer,other vegetables,,,,,,,,,
whole milk,bottled water,UHT-milk,candy,,,,,,,
root vegetables,frozen vegetables,pet care,,,,,,,,
sausage,domestic eggs,domestic eggs,,,,,,,,
frankfurter,root vegetables,,,,,,,,,
hygiene articles,chocolate,,,,,,,,,
canned beer,rolls/buns,baking powder,,,,,,,,
meat,UHT-milk,,,,,,,,,
onions,pastry,soda,,,,,,,,
tropical fruit,bottled water,cream cheese ,,,,,,,,
pork,whole milk,,,,,,,,,
rolls/buns,curd,,,,,,,,,
chicken,coffee,,,,,,,,,
yogurt,bottled water,processed cheese,,,,,,,,
ham,Instant food products,,,,,,,,,
soda,beef,,,,,,,,,
tropical fruit,yogurt,pip fruit,yogurt,yogurt,,,,,,
frankfurter,other vegetables,whole milk,ready soups,brandy,,,,,,
grapes,whipped/sour cream,soda,,,,,,,,
sausage,grapes,,,,,,,,,
whipped/sour cream,hygiene articles,,,,,,,,,
hamburger meat,whole milk,,,,,,,,,
packaged fruit/vegetables,other vegetables,,,,,,,,,
detergent,root vegetables,fruit/vegetable juice,brown bread,,,,,,,
ice cream,UHT-milk,,,,,,,,,
waffles,salty snack,hard cheese,,,,,,,,
canned fish,cocoa drinks,,,,,,,,,
pork,whole milk,,,,,,,,,
bottled beer,berries,,,,,,,,,
yogurt,whole milk,,,,,,,,,
meat,citrus fruit,,,,,,,,,
butter,hygiene articles,,,,,,,,,
whole milk,meat spreads,,,,,,,,,
sausage,frozen meals,long life bakery product,soda,,,,,,,
canned beer,napkins,sparkling wine,,,,,,,,
dessert,yogurt,,,,,,,,,
citrus fruit,pastry,salt,,,,,,,,
cream cheese ,canned beer,waffles,,,,,,,,
beverages,citrus fruit,tropical fruit,ready soups,canned fish,soda,,,,,
pastry,whole milk,,,,,,,,,
bottled water,liquor (appetizer),,,,,,,,,
other vegetables,frozen meals,,,,,,,,,
frankfurter,yogurt,,,,,,,,,
UHT-milk,roll products ,salt,,,,,,,,
finished products,whole milk,baking powder,,,,,,,,
butter milk,meat,curd,soda,long life bakery product,,,,,,
whole milk,pastry,margarine,pastry,,,,,,,
sausage,dessert,,,,,,,,,
dessert,dessert,flour,,,,,,,,
ice cream,rolls/buns,,,,,,,,,
domestic eggs,frozen vegetables,,,,,,,,,
frankfurter,citrus fruit,whole milk,,,,,,,,
beef,butter milk,yogurt,soda,,,,,,,
berries,bottled beer,,,,,,,,,
long life bakery product,fruit/vegetable juice,,,,,,,,,
newspapers,cream cheese ,long life bakery product,,,,,,,,
waffles,cereals,,,,,,,,,
chewing gum,ice cream,,,,,,,,,
chicken,chocolate,,,,,,,,,
frozen dessert,soda,,,,,,,,,
whole milk,light bulbs,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
sausage,root vegetables,bottled beer,,,,,,,,
frozen dessert,bottled water,,,,,,,,,
finished products,pip fruit,,,,,,,,,
white wine,citrus fruit,,,,,,,,,
pork,cream cheese ,,,,,,,,,
hard cheese,Instant food products,,,,,,,,,
salty snack,canned beer,,,,,,,,,
yogurt,tropical fruit,mayonnaise,curd,soft cheese,,,,,,
specialty chocolate,coffee,,,,,,,,,
tropical fruit,citrus fruit,frankfurter,spices,butter milk,UHT-milk,,,,,
other vegetables,dessert,other vegetables,fruit/vegetable juice,,,,,,,
citrus fruit,tropical fruit,,,,,,,,,
root vegetables,citrus fruit,,,,,,,,,
white wine,frozen potato products,,,,,,,,,
turkey,pip fruit,,,,,,,,,
beef,UHT-milk,,,,,,,,,
margarine,margarine,,,,,,,,,
margarine,cream cheese ,,,,,,,,,
chicken,fruit/vegetable juice,,,,,,,,,
beef,yogurt,,,,,,,,,
baking powder,soda,beverages,,,,,,,,
brown bread,bottled water,domestic eggs,,,,,,,,
pip fruit,rolls/buns,,,,,,,,,
other vegetables,shopping bags,,,,,,,,,
pork,white bread,,,,,,,,,
citrus fruit,butter milk,,,,,,,,,
condensed milk,onions,coffee,candy,,,,,,,
tropical fruit,shopping bags,,,,,,,,,
finished products,pork,onions,pasta,tropical fruit,soda,pastry,,,,
sausage,pastry,,,,,,,,,
chicken,chocolate,chewing gum,,,,,,,,
beverages,coffee,,,,,,,,,
grapes,root vegetables,,,,,,,,,
soda,pip fruit,pasta,,,,,,,,
salty snack,rolls/buns,,,,,,,,,
soda,UHT-milk,,,,,,,,,
soda,pip fruit,,,,,,,,,
hamburger meat,root vegetables,,,,,,,,,
frankfurter,bottled water,,,,,,,,,
sausage,canned beer,rum,spices,,,,,,,
red/blush wine,other vegetables,rolls/buns,,,,,,,,
chocolate,pastry,,,,,,,,,
curd,domestic eggs,,,,,,,,,
pork,whole milk,napkins,,,,,,,,
white wine,chocolate marshmallow,,,,,,,,,
other vegetables,dessert,,,,,,,,,
dessert,beverages,,,,,,,,,
ice cream,whole milk,,,,,,,,,
oil,misc. beverages,candy,yogurt,,,,,,,
ham,rolls/buns,flower (seeds),,,,,,,,
salty snack,pip fruit,chicken,rolls/buns,red/blush wine,,,,,,
butter milk,specialty fat,,,,,,,,,
other vegetables,bottled water,,,,,,,,,
soda,soda,oil,,,,,,,,
soft cheese,pip fruit,,,,,,,,,
hamburger meat,spread cheese,,,,,,,,,
rolls/buns,domestic eggs,,,,,,,,,
whole milk,mustard,,,,,,,,,
margarine,bottled water,,,,,,,,,
other vegetables,chewing gum,,,,,,,,,
other vegetables,bottled beer,,,,,,,,,
sugar,curd,,,,,,,,,
pip fruit,root vegetables,,,,,,,,,
rolls/buns,bottled beer,,,,,,,,,
bottled water,soda,soda,,,,,,,,
frankfurter,rolls/buns,,,,,,,,,
tropical fruit,white wine,curd,grapes,,,,,,,
other vegetables,UHT-milk,,,,,,,,,
soda,pastry,,,,,,,,,
chicken,bottled water,,,,,,,,,
herbs,soups,,,,,,,,,
meat,pip fruit,,,,,,,,,
house keeping products,fruit/vegetable juice,,,,,,,,,
meat,yogurt,,,,,,,,,
specialty chocolate,bottled water,,,,,,,,,
UHT-milk,soft cheese,,,,,,,,,
yogurt,citrus fruit,,,,,,,,,
yogurt,berries,butter,pastry,,,,,,,
other vegetables,other vegetables,whole milk,,,,,,,,
tropical fruit,house keeping products,,,,,,,,,
shopping bags,misc. beverages,,,,,,,,,
bottled water,specialty bar,,,,,,,,,
waffles,rolls/buns,,,,,,,,,
bottled water,pip fruit,frozen vegetables,,,,,,,,
rolls/buns,whole milk,soda,,,,,,,,
bottled water,domestic eggs,pickled vegetables,margarine,,,,,,,
citrus fruit,flour,,,,,,,,,
brown bread,bottled water,,,,,,,,,
yogurt,tropical fruit,,,,,,,,,
beef,berries,root vegetables,,,,,,,,
whole milk,chocolate,,,,,,,,,
other vegetables,dog food,,,,,,,,,
ham,napkins,rice,,,,,,,,
pip fruit,UHT-milk,soda,,,,,,,,
root vegetables,other vegetables,,,,,,,,,
grapes,whole milk,frozen vegetables,,,,,,,,
hard cheese,root vegetables,white bread,,,,,,,,
other vegetables,other vegetables,dishes,,,,,,,,
other vegetables,zwieback,oil,,,,,,,,
rolls/buns,domestic eggs,,,,,,,,,
root vegetables,soda,,,,,,,,,
frankfurter,canned beer,pastry,yogurt,,,,,,,
pip fruit,butter,,,,,,,,,
canned beer,dessert,fruit/vegetable juice,,,,,,,,
coffee,hamburger meat,,,,,,,,,
pork,whole milk,,,,,,,,,
soda,rolls/buns,,,,,,,,,
tropical fruit,curd,,,,,,,,,
yogurt,hamburger meat,other vegetables,mustard,,,,,,,
whole milk,whole milk,,,,,,,,,
rolls/buns,pickled vegetables,,,,,,,,,
citrus fruit,sliced cheese,,,,,,,,,
tropical fruit,fruit/vegetable juice,,,,,,,,,
sausage,frankfurter,grapes,sausage,dog food,misc. beverages,napkins,artif. sweetener,,,
hamburger meat,pasta,,,,,,,,,
citrus fruit,other vegetables,yogurt,,,,,,,,
soda,tropical fruit,specialty chocolate,root vegetables,,,,,,,
hamburger meat,hygiene articles,soda,tropical fruit,,,,,,,
frankfurter,yogurt,,,,,,,,,
photo/film,pip fruit,butter,liquor (appetizer),bottled beer,sweet spreads,,,,,
yogurt,specialty bar,,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
soda,root vegetables,,,,,,,,,
soda,whole milk,,,,,,,,,
tropical fruit,citrus fruit,newspapers,,,,,,,,
fruit/vegetable juice,candy,hygiene articles,,,,,,,,
root vegetables,seasonal products,,,,,,,,,
soda,root vegetables,fruit/vegetable juice,,,,,,,,
bottled beer,frozen meals,,,,,,,,,
other vegetables,meat,salty snack,,,,,,,,
pickled vegetables,onions,,,,,,,,,
frozen vegetables,rolls/buns,cling film/bags,,,,,,,,
frozen vegetables,yogurt,,,,,,,,,
soda,napkins,,,,,,,,,
napkins,butter,,,,,,,,,
soda,whole milk,,,,,,,,,
pastry,fruit/vegetable juice,,,,,,,,,
tropical fruit,bottled water,long life bakery product,,,,,,,,
root vegetables,yogurt,sparkling wine,,,,,,,,
chicken,brown bread,,,,,,,,,
citrus fruit,canned beer,,,,,,,,,
sausage,whole milk,cake bar,,,,,,,,
root vegetables,female sanitary products,,,,,,,,,
margarine,shopping bags,,,,,,,,,
pork,berries,,,,,,,,,
soda,salty snack,butter milk,baking powder,,,,,,,
ham,whole milk,,,,,,,,,
coffee,tidbits,,,,,,,,,
bottled beer,other vegetables,waffles,,,,,,,,
ham,brown bread,,,,,,,,,
yogurt,dessert,,,,,,,,,
mustard,sugar,baking powder,,,,,,,,
rolls/buns,cream cheese ,brown bread,,,,,,,,
whipped/sour cream,canned beer,sliced cheese,,,,,,,,
ice cream,margarine,,,,,,,,,
long life bakery product,salty snack,,,,,,,,,
root vegetables,shopping bags,salty snack,,,,,,,,
whole milk,tropical fruit,,,,,,,,,
canned beer,white bread,,,,,,,,,
bottled beer,whipped/sour cream,,,,,,,,,
newspapers,misc. beverages,,,,,,,,,
bottled water,newspapers,,,,,,,,,
root vegetables,napkins,,,,,,,,,
cream cheese ,pip fruit,citrus fruit,chicken,other vegetables,curd,specialty chocolate,pastry,,,
canned fish,rolls/buns,,,,,,,,,
cat food,sparkling wine,,,,,,,,,
bottled water,sugar,,,,,,,,,
frozen vegetables,newspapers,,,,,,,,,
citrus fruit,shopping bags,,,,,,,,,
whole milk,sugar,,,,,,,,,
packaged fruit/vegetables,pet care,,,,,,,,,
other vegetables,abrasive cleaner,,,,,,,,,
whole milk,soda,,,,,,,,,
ham,candy,,,,,,,,,
soda,napkins,,,,,,,,,
ham,whole milk,,,,,,,,,
frankfurter,frozen vegetables,,,,,,,,,
cat food,whipped/sour cream,whole milk,,,,,,,,
onions,whole milk,,,,,,,,,
whole milk,coffee,soft cheese,,,,,,,,
other vegetables,soda,,,,,,,,,
tropical fruit,dishes,,,,,,,,,
butter milk,fruit/vegetable juice,pastry,margarine,,,,,,,
potato products,pip fruit,,,,,,,,,
whipped/sour cream,whole milk,,,,,,,,,
pastry,shopping bags,,,,,,,,,
tropical fruit,flour,,,,,,,,,
specialty bar,candy,root vegetables,ice cream,,,,,,,
newspapers,root vegetables,pastry,margarine,,,,,,,
pastry,shopping bags,,,,,,,,,
other vegetables,whipped/sour cream,,,,,,,,,
hygiene articles,dessert,,,,,,,,,
bottled water,shopping bags,waffles,,,,,,,,
sausage,whole milk,,,,,,,,,
ham,frozen meals,,,,,,,,,
sausage,salad dressing,,,,,,,,,
rolls/buns,hygiene articles,,,,,,,,,
frankfurter,frankfurter,beef,domestic eggs,hard cheese,processed cheese,curd,shopping bags,,,
ham,newspapers,,,,,,,,,
pot plants,other vegetables,,,,,,,,,
rolls/buns,berries,canned vegetables,dessert,,,,,,,
waffles,whole milk,,,,,,,,,
herbs,newspapers,newspapers,rolls/buns,,,,,,,
frankfurter,whole milk,,,,,,,,,
specialty bar,margarine,,,,,,,,,
UHT-milk,herbs,butter,oil,,,,,,,
dishes,fruit/vegetable juice,,,,,,,,,
tropical fruit,rice,,,,,,,,,
dessert,cake bar,,,,,,,,,
shopping bags,other vegetables,,,,,,,,,
root vegetables,yogurt,chocolate,shopping bags,,,,,,,
whole milk,bottled water,,,,,,,,,
sausage,bottled water,,,,,,,,,
other vegetables,pastry,,,,,,,,,
soda,salty snack,candy,,,,,,,,
canned beer,whole milk,frankfurter,frankfurter,dishes,rolls/buns,pip fruit,canned vegetables,,,
condensed milk,cat food,,,,,,,,,
rolls/buns,shopping bags,,,,,,,,,
tropical fruit,citrus fruit,chocolate,,,,,,,,
specialty bar,margarine,,,,,,,,,
soda,prosecco,canned fish,,,,,,,,
butter milk,red/blush wine,,,,,,,,,
yogurt,other vegetables,soft cheese,salt,,,,,,,
canned beer,rolls/buns,,,,,,,,,
canned beer,tropical fruit,bottled beer,,,,,,,,
whipped/sour cream,sugar,brown bread,,,,,,,,
sausage,beverages,,,,,,,,,
sausage,citrus fruit,,,,,,,,,
yogurt,flower (seeds),,,,,,,,,
canned beer,roll products ,root vegetables,flower (seeds),,,,,,,
coffee,whole milk,,,,,,,,,
root vegetables,soda,,,,,,,,,
pork,other vegetables,,,,,,,,,
rolls/buns,dessert,,,,,,,,,
pip fruit,white wine,,,,,,,,,
bottled water,other vegetables,light bulbs,,,,,,,,
hamburger meat,dog food,domestic eggs,,,,,,,,
dessert,dental care,,,,,,,,,
curd,zwieback,,,,,,,,,
yogurt,rolls/buns,,,,,,,,,
sausage,female sanitary products,,,,,,,,,
yogurt,root vegetables,,,,,,,,,
canned beer,other vegetables,,,,,,,,,
beverages,candles,,,,,,,,,
soda,chewing gum,,,,,,,,,
pastry,shopping bags,sugar,,,,,,,,
packaged fruit/vegetables,sweet spreads,,,,,,,,,
ham,sugar,,,,,,,,,
tropical fruit,berries,mayonnaise,,,,,,,,
pork,UHT-milk,frozen fish,,,,,,,,
beverages,red/blush wine,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
seasonal products,whole milk,,,,,,,,,
whole milk,cream cheese ,,,,,,,,,
whole milk,margarine,,,,,,,,,
bottled water,canned beer,,,,,,,,,
whole milk,domestic eggs,,,,,,,,,
grapes,chicken,bottled beer,root vegetables,,,,,,,
beverages,bottled water,,,,,,,,,
hygiene articles,margarine,,,,,,,,,
cleaner,misc. beverages,,,,,,,,,
turkey,chewing gum,,,,,,,,,
ham,other vegetables,,,,,,,,,
organic sausage,other vegetables,,,,,,,,,
rolls/buns,dessert,coffee,,,,,,,,
syrup,newspapers,processed cheese,rolls/buns,,,,,,,
root vegetables,other vegetables,bottled beer,softener,,,,,,,
pork,citrus fruit,,,,,,,,,
canned beer,male cosmetics,white wine,ice cream,,,,,,,
sausage,packaged fruit/vegetables,misc. beverages,,,,,,,,
pork,soda,,,,,,,,,
flower (seeds),honey,,,,,,,,,
yogurt,whipped/sour cream,,,,,,,,,
chewing gum,misc. beverages,,,,,,,,,
beef,domestic eggs,,,,,,,,,
liver loaf,processed cheese,canned beer,,,,,,,,
root vegetables,citrus fruit,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
pastry,margarine,,,,,,,,,
whole milk,oil,soups,,,,,,,,
